,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
118,1627853,"Arcidiacono, Ryan",Ryan Arcidiacono,0,2017,2019,ryan_arcidiacono,0,,,,,Y,1
119,76055,"Ard, Jim",Jim Ard,0,1974,1977,HISTADD_jim_ard,0,,,,,Y,0
120,2240,"Arenas, Gilbert",Gilbert Arenas,0,2001,2011,gilbert_arenas,0,,,,,Y,0
121,2772,"Ariza, Trevor",Trevor Ariza,0,2004,2019,trevor_ariza,0,,,,,Y,0
122,76056,"Arizin, Paul",Paul Arizin,0,1950,1961,HISTADD_paul_arizin,0,,,,,Y,0
123,76057,"Arlauckas, Joe",Joe Arlauckas,0,1987,1987,HISTADD_joe_arlauckas,0,,,,,Y,0
124,769,"Armstrong, B.J.",B.J. Armstrong,1,1989,1999,b.j._armstrong,1610612741,Chicago,Bulls,CHI,bulls,Y,0
125,76061,"Armstrong, Bob",Bob Armstrong,0,1956,1956,HISTADD_bob_armstrong,0,,,,,Y,0
126,2220,"Armstrong, Brandon",Brandon Armstrong,0,2001,2003,brandon_armstrong,0,,,,,Y,1
127,353,"Armstrong, Darrell",Darrell Armstrong,0,1994,2007,darrell_armstrong,0,,,,,Y,0
128,200756,"Armstrong, Hilton",Hilton Armstrong,0,2006,2013,hilton_armstrong,0,,,,,Y,1
129,76060,"Armstrong, Paul",Paul Armstrong,0,1948,1950,HISTADD_curly_armstrong,0,,,,,Y,0
130,76059,"Armstrong, Tate",Tate Armstrong,0,1977,1978,HISTADD_tate_armstrong,0,,,,,Y,0
131,76062,"Arnelle, Jesse",Jesse Arnelle,0,1955,1955,HISTADD_jesse_arnelle,0,,,,,Y,0
132,76063,"Arnette, Jay",Jay Arnette,0,1963,1965,HISTADD_jay_arnette,0,,,,,Y,0
133,76064,"Arnzen, Bob",Bob Arnzen,0,1970,1970,HISTADD_bob_arnzen,0,,,,,Y,0
134,2306,"Arroyo, Carlos",Carlos Arroyo,0,2001,2010,carlos_arroyo,0,,,,,Y,0
135,201589,"Arthur, Darrell",Darrell Arthur,0,2008,2017,darrell_arthur,0,,,,,Y,0
136,76065,"Arthurs, John",John Arthurs,0,1969,1969,HISTADD_john_arthurs,0,,,,,Y,0
137,1628503,"Artis, Jamel",Jamel Artis,0,2017,2017,jamel_artis,0,,,,,Y,1
138,201600,"Asik, Omer",Omer Asik,0,2010,2017,omer_asik,0,,,,,Y,0
139,355,"Askew, Vincent",Vincent Askew,1,1987,1997,vincent_askew,1610612744,Golden State,Warriors,GOS,warriors,Y,0
140,173,"Askins, Keith",Keith Askins,1,1990,1998,keith_askins,1610612748,Miami,Heat,MIA,heat,Y,0
141,76068,"Asmonga, Don",Don Asmonga,0,1953,1953,HISTADD_don_asmonga,0,,,,,Y,0
142,76069,"Atha, Richard",Richard Atha,0,1955,1957,HISTADD_dick_atha,0,,,,,Y,0
